mR(GeV)	XS(pb)	pdf(%)	pdf(%)	scale(%)	scale(%)	full(%)	full(%)
200	7.2760589457685265	15.2	-15.	16.6	-14.1	22.507776433935007	-22.507776433935007
260	3.7640239850242976	17.1	-17.	17.6	-14.9	24.53915238959977	-24.53915238959977
300	2.533086507427634	18.4	-18.5	16.7	-14.7	24.84854120466632	-24.84854120466632
400	1.0485663598038462	22.1	-22.4	16.6	-15.	27.64000723588907	-27.64000723588907
500	0.5497456180950707	26.1	-26.2	16.5	-15.2	30.87814761283455	-30.87814761283455
600	0.316199619905073	30.2	-29.8	16.9	-15.7	34.60708020044453	-34.60708020044453
700	0.18923906039477065	34.2	-33.	16.8	-15.8	38.10354314233783	-38.10354314233783
750	0.14687644797886343	36.7	-35.	17.4	-16.2	40.61588359250602	-40.61588359250602
800	0.11590077112480496	38.8	-36.6	16.5	-15.8	42.162661206332785	-42.162661206332785
900	0.07245492898725399	43.	-39.9	16.8	-16.1	46.16535497534921	-46.16535497534921
1000	0.046995893488404654	48.1	-43.7	17.1	-16.4	51.04919196226322	-51.04919196226322
1500	0.006229984993597989	77.2	-66.6	17.1	-17.	79.07117047318826	-79.07117047318826
1800	0.0020956416238397456	98.8	-84.3	18.1	-17.8	100.44426315126215	-100.44426315126215
2000	0.0010193899517086883	115.8	-98.5	18.6	-18.2	117.28427004504908	-117.28427004504908
2500	0.00018148223807460694	166.7	-138.2	19.5	-19.1	167.83664677298577	-167.83664677298577
3000	0.000031612834147955646	239.2	-201.5	20.9	-20.2	240.11132834583208	-240.11132834583208
3500	5.186908529944605e-6	330.9	-303.	22.2	-21.1	331.6438601874004	-331.6438601874004
4500	8.059053833991837e-8	720.1	-958.	23.6	-21.9	720.4866202782672	-720.4866202782672
