mR(GeV)	XS(pb)	pdf(%)	pdf(%)	scale(%)	scale(%)	full(%)	full(%)
200	18.388779763736945	13.2	-13.6	16.3	-13.8	20.97450833750341	-20.97450833750341
260	10.309284074970574	13.9	-13.8	16.2	-13.4	21.345959805077868	-21.345959805077868
300	7.199822417071819	14.6	-14.3	15.6	-13.3	21.366328650472454	-21.366328650472454
400	3.367912680537783	16.6	-16.5	15.1	-13.4	22.44036541591959	-22.44036541591959
500	1.9622547077446086	18.7	-19.	15.3	-13.7	24.16153968603822	-24.16153968603822
600	1.2352158303519238	21.1	-21.3	15.5	-14.1	26.18129103004663	-26.18129103004663
700	0.8044228387285548	23.5	-23.7	15.7	-14.3	28.261988606607286	-28.261988606607286
750	0.6555507754995961	24.8	-24.9	15.5	-14.4	29.24534150937547	-29.24534150937547
800	0.543591821797392	26.	-26.1	15.1	-14.2	30.066759053812234	-30.066759053812234
900	0.37332868919847373	28.1	-27.8	15.4	-14.5	32.043252019731085	-32.043252019731085
1000	0.26198783232529066	30.7	-29.9	15.5	-14.6	34.39098719141398	-34.39098719141398
1500	0.0543954526758871	44.4	-40.6	15.	-14.9	46.86533900442842	-46.86533900442842
1800	0.023941198814411226	54.	-47.9	15.9	-15.5	56.29218418217577	-56.29218418217577
2000	0.014295466079251178	60.9	-53.3	16.	-15.8	62.966737250710395	-62.966737250710395
2500	0.004300570812786642	78.3	-67.2	16.	-16.1	79.91802049600578	-79.91802049600578
3000	0.0013828820919085398	101.7	-86.9	16.8	-16.8	103.07827123113775	-103.07827123113775
3500	0.0004690677953876085	126.9	-107.4	16.9	-17.1	128.02038900112748	-128.02038900112748
4500	0.000053181824621540104	199.6	-165.9	18.4	-18.4	200.44630203623112	-200.44630203623112
5000	0.000018325099428559412	243.1	-205.9	19.2	-19.	243.85702778472472	-243.85702778472472
6000	1.8633884474100342e-6	359.9	-359.3	20.3	-19.8	360.472051621204	-360.472051621204
6500	5.354666246905015e-7	441.1	-501.	21.	-20.3	441.59960371359034	-441.59960371359034
